model,measure,value
v1G1,modal,"[ 9.98195682e-01  1.01043026e-02  1.91391041e-02 -2.62817333e-02
 -1.42227601e-04  8.63583237e-02  8.34094544e-02  9.09120815e-03
 -2.89469189e-02  1.13516807e-02  1.31740337e-02  1.00703033e+00
  6.80381650e-03 -7.70493085e-03  3.13343752e-03  1.79301620e-02
 -1.18178473e-03 -7.39151414e-03  1.21905011e-01  1.46692523e-01
  9.93274095e-01  1.66153242e-01  1.91468778e-01  2.54619889e-02
  2.51856942e-02  1.11385393e-01  9.01213518e-02  3.78603207e-04
 -9.81584271e-03  9.87511968e-01  3.25063286e-01  3.11947154e-01
  8.63806721e-02  8.80370039e-02 -2.47691156e-02 -3.58391028e-02
  2.58590500e-01  2.81426719e-01 -7.43708618e-02 -1.22272467e-01
 -3.37672721e-02 -3.99744051e-02 -1.51400562e-02 -1.96467777e-02
 -1.35205581e-01 -1.50939773e-01  3.03694358e-01  2.68974443e-01
  2.44954132e-01  2.76798544e-01  5.86904230e-01  6.00279049e-01
 -3.31967746e-02 -5.18097352e-02  5.20300212e-03 -2.19898030e-02
  1.42421648e-01  1.78946821e-01 -2.00832402e-02 -4.20006267e-02
  1.43679566e-01  1.50774485e-01  3.49254365e-01  3.61067090e-01
  1.01564512e+00  9.00624173e-02  1.08435811e-01  9.93779094e-01
  1.72928100e-02 -4.15366680e-04  2.11015219e-02 -8.29911799e-03
 -8.27322026e-02 -8.79494198e-02 -1.22641716e-01 -1.09815583e-01
 -5.98015482e-02 -8.29816824e-02  1.33879865e-01  1.04568679e-01
  5.38666460e-02  4.53697472e-02  4.99260140e-01  4.98853937e-01
  7.89196883e-02  1.18610396e-01  7.99555834e-01  7.97586756e-01
  2.01443971e-01  2.03324248e-01  1.03068705e+00  3.25006211e-01
  3.47885411e-01  3.81265899e-01  3.81762470e-01  1.02112719e+00
  9.97008485e-01  9.93590543e-01  1.00023858e+00  9.97814996e-01]"
v1G1,avg_modal,0.21890494227409363
v1G1,avg,1.0790936279296874
v1G1,global,0.5741239190101624
v3G1,modal,"[ 4.93972488e-01  4.90910671e-01  3.61568857e-01  3.69664708e-01
  1.00125518e+00  2.14415493e-01  2.11758673e-01  1.01143697e+00
  1.00627007e+00  6.07081117e-02  6.15886312e-02  8.86022392e-02
  8.66465679e-02  1.02467333e-01  1.03274066e-01  2.01948511e-01
  2.02636110e-01  3.90729572e-02  3.47440959e-02  1.00376521e+00
  1.62666285e-01  1.62657131e-01 -1.68411554e-02 -8.39072414e-03
  1.36376727e-01  1.39095183e-01  2.01183085e-01  2.02075955e-01
  1.89718742e-01  1.94002642e-01  8.72028630e-02  1.00703180e-01
 -2.95423893e-03  6.70284571e-04  3.96334416e-01  3.98420927e-01
  2.92681104e-02  2.38374285e-02  8.09734385e-02  7.98229387e-02
  9.97397337e-01  1.93282172e-01  1.92670339e-01  4.89046277e-02
  5.35429819e-02  2.67107937e-01  2.66083182e-01  8.61564750e-01
  8.59316085e-01 -2.75099278e-02 -1.80820556e-02  1.21017518e-02
 -4.30089751e-05  1.55139607e-01  1.55923517e-01  6.80625054e-03
  7.70491058e-03  6.34895609e-02  6.39831986e-02  2.00705065e-01
  1.94467985e-01  8.48832446e-02  8.29743009e-02  8.48809333e-01
  8.48256410e-01  2.03874812e-01  2.10252290e-01 -1.91042672e-02
 -2.12784184e-02 -1.65761734e-02 -1.99921362e-02  1.29152956e-01
  1.27161937e-01  7.18201439e-02  7.43591565e-02  9.99730112e-01
  2.01589541e-01  2.03270870e-01 -7.01574869e-02 -6.98325826e-02
  1.00071026e+00  1.33403970e-01  1.31713932e-01  9.63335019e-02
  8.03847710e-02  1.00871250e+00  1.00288942e+00  7.78663531e-02
  7.09577370e-02  1.00515206e+00  1.25244265e-01  1.22026544e-01
  7.14881014e-01  7.16791249e-01  3.28783130e-02  3.32460625e-02
  1.00615372e+00  1.00530565e+00  2.40841487e-01  2.46345437e-01]"
v3G1,avg_modal,0.2697911858558655
v3G1,avg,1.043188247680664
v3G1,global,0.44858118891716003
v1G2,modal,"[-0.00536597 -0.00549769 -0.03388437 -0.03979687 -0.07579323 -0.08483119
  0.01772981 -0.01287515  0.0134409  -0.00908912  0.04786681  0.03568679
 -0.04357441 -0.04401289 -0.03202638 -0.06314447  0.10137717  0.10513729
  0.47079412  0.44309141  1.01941677  0.03496968  0.04914428  0.04820721
  0.02739046  0.16001376  0.14470515  0.04851499  0.0379477  -0.01439792
  0.00317954  0.46547331  0.46426894  0.0789675   0.04626092  0.07313108
  0.05824109 -0.18673688 -0.16468139  0.97970942  0.12704421  0.14314931
  0.08121199  0.08410641  0.01014617  0.04148843  0.91409287  0.92101157
  0.04398246  0.06282377  0.11458742  0.14020463  0.5085386   0.51940494
  0.00987648  0.03926698 -0.14155848 -0.14448304  0.06789222  0.07166392
 -0.03630887 -0.04989515  0.15807976  0.12054842  0.00346701 -0.00999326
  0.15525541  0.14959538  1.01009546  0.1000367   0.09365046  1.01370551
  0.03581105  0.03846578  1.00584374  0.00258587 -0.00632035 -0.01819476
  0.01225933  0.2220211   0.21651916  1.00833716  0.81051679  0.80341609
 -0.04870598 -0.04505965  0.87631796  0.86352835 -0.08870492 -0.079674
  0.09854544  0.10112129 -0.25782805 -0.24622537  1.00002648 -0.17451797
 -0.17874118  0.47563097  0.51618353  1.00189643]"
v1G2,avg_modal,0.18426699936389923
